ball_strike_count,all_star_player,inning_topbot,game_id,obs,code
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
11,0.0,0,490890,1100,16
21,0.0,0,490890,2100,28
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
02,0.0,0,490890,0200,8
12,0.0,0,490890,1200,20
12,0.0,0,490890,1200,20
22,0.0,0,490890,2200,32
22,0.0,0,490890,2200,32
32,0.0,0,490890,3200,44
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
11,0.0,1,490890,1101,17
12,0.0,1,490890,1201,21
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
11,0.0,1,490890,1101,17
21,0.0,1,490890,2101,29
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
20,0.0,0,490890,2000,24
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
11,0.0,0,490890,1100,16
00,0.0,0,490890,0000,0
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
00,0.0,0,490890,0000,0
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
02,0.0,1,490890,0201,9
12,0.0,1,490890,1201,21
22,0.0,1,490890,2201,33
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
30,0.0,1,490890,3001,37
31,0.0,1,490890,3101,41
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
30,0.0,1,490890,3001,37
31,0.0,1,490890,3101,41
32,0.0,1,490890,3201,45
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
02,0.0,0,490890,0200,8
02,0.0,0,490890,0200,8
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
11,0.0,0,490890,1100,16
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
02,0.0,0,490890,0200,8
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
12,0.0,0,490890,1200,20
00,0.0,1,490890,0001,1
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
02,0.0,1,490890,0201,9
12,0.0,1,490890,1201,21
12,0.0,1,490890,1201,21
22,0.0,1,490890,2201,33
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
02,0.0,1,490890,0201,9
12,0.0,1,490890,1201,21
22,0.0,1,490890,2201,33
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
20,0.0,0,490890,2000,24
21,0.0,0,490890,2100,28
22,0.0,0,490890,2200,32
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
11,0.0,0,490890,1100,16
12,0.0,0,490890,1200,20
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
11,0.0,0,490890,1100,16
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
21,0.0,1,490890,2101,29
31,0.0,1,490890,3101,41
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
21,0.0,1,490890,2101,29
22,0.0,1,490890,2201,33
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
11,0.0,1,490890,1101,17
21,0.0,1,490890,2101,29
00,0.0,1,490890,0001,1
01,0.0,1,490890,0101,5
11,0.0,1,490890,1101,17
12,0.0,1,490890,1201,21
22,0.0,1,490890,2201,33
22,0.0,1,490890,2201,33
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
02,0.0,0,490890,0200,8
12,0.0,0,490890,1200,20
00,0.0,0,490890,0000,0
10,0.0,0,490890,1000,12
20,0.0,0,490890,2000,24
30,0.0,0,490890,3000,36
31,0.0,0,490890,3100,40
00,0.0,0,490890,0000,0
01,0.0,0,490890,0100,4
11,0.0,0,490890,1100,16
12,0.0,0,490890,1200,20
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
21,0.0,1,490890,2101,29
22,0.0,1,490890,2201,33
32,0.0,1,490890,3201,45
32,0.0,1,490890,3201,45
00,0.0,1,490890,0001,1
00,0.0,1,490890,0001,1
10,0.0,1,490890,1001,13
20,0.0,1,490890,2001,25
30,0.0,1,490890,3001,37
31,0.0,1,490890,3101,41
00,0.0,1,490890,0001,1
